Data,surface_temperature-NE,surface_temperature-N,surface_temperature-C.O.,surface_temperature-SE,surface_temperature-S
2047-01,300.09634,300.20132,300.73325,298.667,299.42743
2047-02,300.15598,300.3231,301.59988,298.7313,299.62515
2047-03,300.1691,300.33978,299.8514,298.19724,296.77063
2047-04,299.04153,300.05463,299.69788,297.70502,296.16446
2047-05,298.8955,299.74756,297.23764,295.1208,291.79306
2047-06,298.47717,299.68555,295.46088,293.97543,290.8383
2047-07,298.18045,299.49844,296.12747,293.8466,288.76678
2047-08,299.30838,301.36182,300.50583,296.38132,291.5162
2047-09,303.06345,303.86755,304.19437,297.75464,292.62396
2047-10,306.7159,302.66425,305.5733,298.79462,294.7052
2047-11,303.2511,301.48035,300.6369,297.748,297.24826
2047-12,302.35675,300.97205,302.2538,300.7893,299.724
2048-01,300.52173,301.20166,300.00092,298.78632,299.30518
2048-02,301.0495,300.93985,302.52576,301.30115,300.48703
2048-03,300.39978,301.41827,300.9049,298.5354,298.2492
2048-04,299.97333,300.44672,299.21237,297.3601,295.6114
2048-05,299.5379,299.9694,297.03537,295.3146,292.8642
2048-06,299.11194,300.42432,296.03354,294.37933,290.13336
2048-07,298.67755,301.36017,296.5733,294.055,290.43243
2048-08,300.57745,303.47293,299.9957,295.8664,292.52145
2048-09,304.04764,305.4062,302.64084,296.79175,291.78815
2048-10,307.24194,304.66077,306.31708,300.02594,293.23962
2048-11,305.31735,303.40524,303.4035,296.8507,295.83502
2048-12,301.86017,302.45056,302.80402,299.92975,300.3544
2049-01,300.93744,302.41415,302.13086,298.83258,301.3567
2049-02,301.6632,302.07,301.16675,299.22766,300.29248
2049-03,301.15723,302.07452,302.12863,299.2021,298.39154
2049-04,300.83997,301.5783,299.79034,298.17535,294.7592
2049-05,300.35828,300.86096,296.69043,295.32526,291.44223
2049-06,299.73297,300.62604,294.9686,293.57294,289.93726
2049-07,298.45538,301.02148,295.48297,293.4182,289.84305
2049-08,298.90436,302.08914,297.9981,294.36572,290.49432
2049-09,301.71384,302.3831,301.7014,296.6859,293.27737
2049-10,303.6669,301.153,303.10776,297.26178,295.07065
2049-11,301.43317,300.80118,301.0274,297.03015,297.2007
2049-12,300.9145,299.94995,300.7134,298.26343,297.6838
