Data,surface_temperature-NE,surface_temperature-N,surface_temperature-C.O.,surface_temperature-SE,surface_temperature-S
1887-04,297.65787,298.0548,296.7766,295.34235,293.31268
1887-05,297.4516,297.55933,294.1954,292.89716,290.85776
1887-06,297.47363,297.23846,293.02917,291.7816,288.18625
1887-07,296.62842,297.5924,293.9878,292.06628,290.20163
1887-08,297.77472,299.69727,298.4061,294.7381,291.42804
1887-09,300.83563,300.4079,298.30194,295.27255,291.1605
1887-10,299.2458,299.18784,299.42953,295.34308,292.96738
1887-11,298.34247,298.78757,299.30673,295.63428,295.3258
1887-12,298.33453,298.69623,298.24426,296.81448,298.29224
1888-01,298.37802,298.60825,299.16086,298.07758,298.30475
1888-02,298.95142,299.10547,299.63098,298.4286,299.58966
